시장,종목명,티커,신호일,종가,RSI,거래량배수,20일후종가,20일수익률%,60일후종가,60일수익률%,신호후최저가,최대낙폭%,-8%손절터치,전방봉수
NASDAQ100,T-Mobile US,TMUS,2021-02-04,130.6,51.59,1.73,124.68,-4.53,131.45,0.65,115.89,-11.26,터치,60
NASDAQ100,Copart,CPRT,2021-02-05,29.85,57.88,1.51,26.0,-12.9,30.88,3.45,25.48,-14.63,터치,60
KOSPI200,HD현대,267250,2021-02-08,52900.0,51.12,1.61,55200.0,4.35,76000.0,43.67,51500.0,-2.65,미터치,60
KOSPI200,GS,078930,2021-02-09,38900.0,54.25,1.7,40000.0,2.83,49300.0,26.74,38150.0,-1.93,미터치,60
KOSPI200,iM금융지주,139130,2021-02-09,7080.0,55.92,1.55,7870.0,11.16,9200.0,29.94,6940.0,-1.98,미터치,60
KOSPI200,롯데케미칼,011170,2021-02-10,288610.0,59.18,1.71,286228.0,-0.83,286228.0,-0.83,262891.0,-8.91,터치,60
KOSPI200,TKG휴켐스,069260,2021-02-15,23850.0,53.8,2.21,23400.0,-1.89,22150.0,-7.13,21200.0,-11.11,터치,60
KOSPI200,GS,078930,2021-02-15,39950.0,59.95,1.53,40550.0,1.5,47650.0,19.27,38150.0,-4.51,미터치,60
KOSPI200,지역난방공사,071320,2021-02-16,38800.0,52.16,2.23,38150.0,-1.68,42500.0,9.54,36650.0,-5.54,미터치,60
KOSPI200,지역난방공사,071320,2021-02-17,39000.0,54.29,2.12,37950.0,-2.69,42800.0,9.74,36650.0,-6.03,미터치,60
KOSPI200,종근당,185750,2021-03-04,154541.0,50.92,2.84,116322.0,-24.73,108429.0,-29.84,103857.0,-32.8,터치,60
KOSPI200,포스코DX,022100,2021-03-05,8130.0,55.31,5.85,7450.0,-8.36,8150.0,0.25,6740.0,-17.1,터치,60
KOSPI200,종근당,185750,2021-03-05,157035.0,52.79,1.5,116322.0,-25.93,109675.0,-30.16,103857.0,-33.86,터치,60
NASDAQ100,Ross Stores,ROST,2021-03-09,124.98,59.77,1.94,123.41,-1.26,119.48,-4.4,113.68,-9.04,터치,60
KOSPI200,종근당,185750,2021-03-17,162019.0,59.54,8.15,121721.0,-24.87,109675.0,-32.31,103857.0,-35.9,터치,60
KOSPI200,DL,000210,2021-03-19,85700.0,57.96,1.74,92000.0,7.35,81400.0,-5.02,79900.0,-6.77,미터치,60
NASDAQ100,Broadcom,AVGO,2021-03-19,47.45,53.56,3.53,46.2,-2.63,47.07,-0.78,41.91,-11.66,터치,60
NASDAQ100,Microchip Technology,MCHP,2021-03-19,75.03,51.03,2.14,77.01,2.65,76.97,2.59,69.27,-7.68,미터치,60
NASDAQ100,Monolithic Power Systems,MPWR,2021-03-19,343.18,47.42,2.05,369.6,7.7,345.41,0.65,301.53,-12.14,터치,60
NASDAQ100,Texas Instruments,TXN,2021-03-19,175.98,53.11,1.56,187.06,6.3,188.61,7.18,173.75,-1.27,미터치,60
KOSPI200,SKC,011790,2021-03-25,113732.0,56.34,2.54,136760.0,20.25,135820.0,19.42,112322.0,-1.24,미터치,60
KOSPI200,SKC,011790,2021-03-26,114672.0,57.62,1.62,137230.0,19.67,134410.0,17.21,112792.0,-1.64,미터치,60
NASDAQ100,Lumentum,LITE,2021-03-26,91.93,56.31,1.89,94.5,2.8,80.24,-12.72,65.67,-28.57,터치,60
KOSPI200,현대차,005380,2021-04-02,233500.0,55.64,3.36,212000.0,-9.21,239500.0,2.57,211000.0,-9.64,터치,60
KOSPI200,현대모비스,012330,2021-04-02,306000.0,54.45,1.87,270000.0,-11.76,289500.0,-5.39,267000.0,-12.75,터치,60
KOSPI200,호텔신라,008770,2021-04-28,85900.0,55.95,2.59,97400.0,13.39,94300.0,9.78,84600.0,-1.51,미터치,60
NASDAQ100,T-Mobile US,TMUS,2021-05-05,134.13,58.32,2.51,142.32,6.11,144.02,7.37,132.21,-1.43,미터치,60
KOSPI200,현대위아,011210,2021-05-10,74500.0,49.67,1.88,89300.0,19.87,94900.0,27.38,72000.0,-3.36,미터치,60
KOSPI200,HL만도,204320,2021-05-10,65800.0,56.79,1.97,72500.0,10.18,64500.0,-1.98,60200.0,-8.51,터치,60
KOSPI200,현대차,005380,2021-05-12,227500.0,53.27,1.84,236000.0,3.74,223000.0,-1.98,217000.0,-4.62,미터치,60
KOSPI200,현대위아,011210,2021-05-12,77800.0,57.85,4.92,90500.0,16.32,95200.0,22.37,74900.0,-3.73,미터치,60
KOSPI200,한화에어로스페이스,012450,2021-05-12,41510.0,57.03,2.4,49709.0,19.75,54497.0,31.29,40439.0,-2.58,미터치,60
